article,colour,lining,f/b,stich,36,37,38,39,40,41,42,43,44,45,46
17G205,BL SYN,BL FOAM,BL SYN,40 BL,,,,,,,1,1,1,1,
17G204,BR SYN,BL FOAM,BR SYN,40BR,,,,,,,1,1,1,1,
1G066,BL SYN,BL FOAM,BL SYN,40 BL,,,,,,,1,1,1,1,
1G166,BR/BL SYN,BL FOAM,BL SYN,20 W,,,,,,,1,1,1,1,
7G002,BR SYN,BL FOAM,BR SYN,40 BR,,,,,,,1,1,1,1,
7G003,BL SYN,BL FOAM,BL SYN,40 BL,,,,,,,1,1,1,1,
7G078,BL SYN,BL FOAM,BL SYN,40 BL,,,,,,,1,1,1,1,
7G105,BR SYN,BL FOAM,BR SYN,40 BR,,,,,,,1,1,1,1,
7G038,BL SYN,BL FOAM,BL SYN,40 BL,,,,,,,1,1,1,1,
